# be wary of 's etc, must show the  that tokenizer would use
# there are no items in this file, only base



table: ~roles(^actor ^title)
if (! ^pos(NOUN ^title lowercaseexist))
{
	createfact(^title star ^actor)
	if (! ^pos(NOUN ^title lowercaseexist))
	{
		^addproperty(^title NOUN_TITLE)
	}
}
DATA:
Merce_Pons Actrius
Dennis_Hopper Apocalypse_Now
Gil_Bellows Ally_Mc_Beal
Marcus_Gilbert Army_Of_Darkness
Mae_Marsh The_Birth_Of_A_Nation
Harriet_E_Mac_Gibbon The_Beverly_Hillbillies
Daryl_Hannah Blade_Runner
Harvey_Korman Blazing_Saddles
Dean_Stockwell Blue_Velvet
Marisa_Berenson Barry_Lyndon
Luke_Perry Buffy_The_Vampire_Slayer
Hugh_Laurie Blackadder
Brendan_Gleeson Braveheart
Michael_Keaton Batman_Returns
Pat_Hingle Batman_Returns
Val_Kilmer Batman_Forever
Pat_Hingle Batman_Forever
Agnes_Moorehead Citizen_Kane
Cheng_Pei_Pei Crouching_Tiger_Hidden_Dragon
Alice_Krige Chariots_Of_Fire
Chris_Morris_Satirist Brass_Eye
Mischa_Auer Destry_Rides_Again
Tracy_Reed_English_Actress Dr_Strangelove
Michael_Palin Do_Not_Adjust_Your_Set
Klaus_Wennemann Das_Boot
Bruce_Campbell The_Evil_Dead
Tom_Atkins_Actor Escape_From_New_York
Nicole_Kidman Eyes_Wide_Shut
Bolo_Yeung Enter_The_Dragon
Leif_Juster Flaklypa_Grand_Prix
Paul_Shearer The_Fast_Show
Steve_Bisley Frontline
Pauline_Mc_Lynn Father_Ted
Nicholas_Parsons Four_Feather_Falls
Rebecka_Liljeberg Show_Me_Love
Kelsey_Grammer Frasier
Hideyo_Amamoto Godzilla_Vs_The_Sea_Monster
Akihiko_Hirata Son_Of_Godzilla
Megumi_Odaka Godzilla_Vs_Biollante
Takashi_Shimura Godzilla
Raymond_Burr The_Return_Of_Godzilla
Justin_Long Galaxy_Quest
Edward_D_Wood_Jr Glen_Or_Glenda
Conrad_Brooks Glen_Or_Glenda
Pamela_Anderson Home_Improvement
Bruce_Cabot King_Kong
Helene_Chatelain La_Jetee
Cesare_Danova Mean_Streets
Candice_Bergen Miss_Congeniality
Sumi_Shimamoto My_Neighbor_Totoro
Ann_Miller Mulholland_Drive
Jim_Mallon Mystery_Science_Theater3000
Mark_Hadlow Meet_The_Feebles
Tom_Sizemore Natural_Born_Killers
Tim_Blake_Nelson O_Brother_Where_Art_Thou
Owen_Brenman One_Foot_In_The_Grave
Pat_Barrington Orgy_Of_The_Dead
Kirk_Douglas Paths_Of_Glory
George_Macready Paths_Of_Glory
John_Turturro Raging_Bull
Harry_Dean_Stanton Repo_Man
Tom_Hanks Saving_Private_Ryan
James_Spader Stargate
Michael_Richards Seinfeld
Molly_Lamont Scared_To_Death
Teri_Mc_Minn The_Texas_Chain_Saw_Massacre
Philip_Seymour_Hoffman The_Big_Lebowski
Ed_Harris The_Rock
Michael_C_Williams The_Blair_Witch_Project
Michael_Bentine The_Goon_Show
Peter_Sellers The_Goon_Show
William_Daniels The_Graduate
Ally_Sheedy The_Breakfast_Club
Leonard_Harris_Actor Taxi_Driver
